السنة,الشهر,الفئة العمرية,عدد معتمري الخارج,
1445,شوال,41 - 50," 21,233 ",
1445,شوال,51 - 60," 26,533 ",
1445,شوال,60'اكبر من," 32,349 ",
1445,شوال,اصغر من 20," 11,798 ",
1445,صفر,21 - 30," 101,223 ",
1445,صفر,31 - 40," 124,401 ",
1445,صفر,41 - 50," 135,905 ",
1445,صفر,51 - 60," 165,659 ",
1445,صفر,60'اكبر من," 179,125 ",
1445,صفر,اصغر من 20," 95,166 ",
1445,محرم,21 - 30," 87,754 ",
1445,محرم,31 - 40," 103,967 ",
1445,محرم,41 - 50," 112,957 ",
1445,محرم,51 - 60," 127,656 ",
1445,محرم,60'اكبر من," 123,505 ",
1445,محرم,اصغر من 20," 97,689 ",
